

"Alarm Records -- Alarm Logs"
"Save Time: 08.10.2020 21:32:10"
"Username: Zhivushko"
"Maintenance Status is in NORMAL.
Occurred = 13 hours.
Time mode = Client time."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurred On (NT)","Cleared On (NT)","Comment","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status"
	-,Major,25888,SCTP Link Fault,BTS3900,700276_Minsk_Plehanova_60_2,Link No.=70142,"Link No.=70142, Description=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-706054, Peer IP Address=172.22.66.243, Service Type=X2-AP",08.10.2020 16:30:24,08.10.2020 17:47:42,	-,08.10.2020 17:47:42,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819850,	-,2615,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700276",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,700276_Minsk_Plehanova_60_2,700276_Minsk_Plehanova_60_2,"User Plane Host ID=1, PEERIP=172.22.34.243, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-706054, Service Type=X2",08.10.2020 16:29:05,08.10.2020 17:46:51,	-,08.10.2020 17:46:51,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819770,	-,2614,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700276",NORMAL
	-,Major,25888,SCTP Link Fault,BTS3900,700199_Minsk_pr_Rokossovskogo_48a,Link No.=70233,"Link No.=70233, Description=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-706054, Peer IP Address=172.22.66.243, Service Type=X2-AP",08.10.2020 16:30:27,08.10.2020 17:47:51,	-,08.10.2020 17:47:51,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819884,	-,1038,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700199",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,700199_Minsk_pr_Rokossovskogo_48a,700199_Minsk_pr_Rokossovskogo_48a,"User Plane Host ID=1, PEERIP=172.22.34.243, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-706054, Service Type=X2",08.10.2020 16:29:49,08.10.2020 17:47:30,	-,08.10.2020 17:47:30,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819825,	-,1037,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700199",NORMAL
	-,Major,25888,SCTP Link Fault,BTS3900,700095_Minsk_Mayakovskogo_182,Link No.=70499,"Link No.=70499, Description=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-706054, Peer IP Address=172.22.66.243, Service Type=X2-AP",08.10.2020 16:30:27,08.10.2020 17:47:51,	-,08.10.2020 17:47:51,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819874,	-,2129,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700095",NORMAL
	-,Major,25888,SCTP Link Fault,BTS3900,705029_Minsk_Kuleshova_18,Link No.=70071,"Link No.=70071, Description=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-706054, Peer IP Address=172.22.66.243, Service Type=X2-AP",08.10.2020 16:30:26,08.10.2020 17:47:55,	-,08.10.2020 17:47:55,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819876,	-,1068,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705029",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,700095_Minsk_Mayakovskogo_182,700095_Minsk_Mayakovskogo_182,"User Plane Host ID=1, PEERIP=172.22.34.243, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-706054, Service Type=X2",08.10.2020 16:29:50,08.10.2020 17:47:31,	-,08.10.2020 17:47:31,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819827,	-,2128,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700095",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705029_Minsk_Kuleshova_18,705029_Minsk_Kuleshova_18,"User Plane Host ID=1, PEERIP=172.22.34.243, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-706054, Service Type=X2",08.10.2020 16:29:26,08.10.2020 17:47:08,	-,08.10.2020 17:47:08,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819788,	-,1067,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705029",NORMAL
	-,Major,25888,SCTP Link Fault,BTS3900,700205_Minsk_Avangardnaya_61_1,Link No.=70420,"Link No.=70420, Description=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-706054, Peer IP Address=172.22.66.243, Service Type=X2-AP",08.10.2020 16:30:26,08.10.2020 17:47:42,	-,08.10.2020 17:47:42,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819872,	-,3958,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700205",NORMAL
	-,Major,25888,SCTP Link Fault,BTS3900,700094_Minsk_Velikomorskaja_36,Link No.=71195,"Link No.=71195, Description=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-706054, Peer IP Address=172.22.66.243, Service Type=X2-AP",08.10.2020 16:30:24,08.10.2020 17:47:42,	-,08.10.2020 17:47:42,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12819856,	-,4204,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700094",NORMAL
