

"Alarm Records -- Alarm Logs"
"Save Time: 11.10.2020 17:37:46"
"Username: Zhivushko"
"Maintenance Status is in NORMAL.
Occurred = 48 hours.
Time mode = Client time."

" ","Severity","Alarm ID","Name","NE Type","Alarm Source","MO Name","Location Information","Occurred On (NT)","Cleared On (NT)","Comment","Acknowledged On (ST)","Cleared By","Acknowledged By","Clearance Status","RRU Name","Acknowledgement Status","BBU Name","eNodeB ID","gNodeB ID","Log Serial Number","User Label","Equipment Alarm Serial Number","Additional Information","Maintenance Status"
	-,Major,25952,User Plane Path Fault,BTS3900,702367_Dzerzhinsk_Oktjabrskaja_72,702367_Dzerzhinsk_Oktjabrskaja_72,"User Plane Host ID=1, PEERIP=172.22.36.34, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-700767, Service Type=X2",09.10.2020 20:49:31,09.10.2020 20:50:12,	-,09.10.2020 20:50:12,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12850625,	-,7571,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=702367",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,700729_Minsk_Gromova_22_28,700729_Minsk_Gromova_22_28,"User Plane Host ID=1, PEERIP=172.22.34.52, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-704285, Service Type=X2",10.10.2020 22:50:35,10.10.2020 22:51:16,	-,10.10.2020 22:51:16,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865475,	-,1962,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=700729",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,704052_Minsk_Gromova_44_46,704052_Minsk_Gromova_44_46,"User Plane Host ID=1, PEERIP=172.22.34.52, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-704285, Service Type=X2",10.10.2020 22:50:34,10.10.2020 22:51:15,	-,10.10.2020 22:51:15,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865473,	-,834,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=704052",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,702366_Dzerzhinsk_Chkalova_30,702366_Dzerzhinsk_Chkalova_30,"User Plane Host ID=1, PEERIP=172.22.36.34, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-700767, Service Type=X2",09.10.2020 20:40:57,09.10.2020 20:41:43,	-,09.10.2020 20:41:43,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12850552,	-,7985,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=702366",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,204548_Senno_Oktyabrskaya_73a,204548_Senno_Oktyabrskaya_73a,"User Plane Host ID=1, PEERIP=172.25.72.172, USERLABEL=eNB:MCC_257 MNC_04 GlobaleNBId_257-06-200690, Service Type=X2",11.10.2020 01:49:19,11.10.2020 01:50:00,	-,11.10.2020 01:50:00,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12867100,	-,1155,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=204548",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.34.36, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-700271, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865477,	-,2173,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.34.91, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-700237, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865479,	-,2174,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.37.67, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-700024, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865485,	-,2177,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.39.134, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-704052, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865487,	-,2178,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.34.58, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-700073, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865481,	-,2175,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.37.77, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-704180, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865483,	-,2176,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.34.56, USERLABEL=eNB:MCC_257 MNC_01 GlobaleNBId_257-06-700729, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865493,	-,2181,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.40.3, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-704276, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865495,	-,2182,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.34.51, USERLABEL=eNB:MCC_257 MNC_02 GlobaleNBId_257-06-700286, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865489,	-,2179,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
	-,Major,25952,User Plane Path Fault,BTS3900,705950_Minsk_Esenina_21,705950_Minsk_Esenina_21,"User Plane Host ID=1, PEERIP=172.22.34.34, USERLABEL=eNB:MCC_257 MNC_04 GlobaleNBId_257-06-700165, Service Type=X2",10.10.2020 22:50:41,10.10.2020 22:51:21,	-,10.10.2020 22:51:21,< NE operator >,< System operator >,Cleared,	-,Acknowledged,	-,	-,	-,12865491,	-,2180,"RAT_INFO=L, AFFECTED_RAT=L, DID=NULL, eNodeBId=705950",NORMAL
